cid,name,winner,winner_pct,turnout,jam,bnp,ncp,median_age,u35,first_time_pct,non_muslim_pct,hindu_pct,stype
245,Brahmanbaria-3,BNP,73.6,45.84,0.0,73.6,21.13,39.0,38.22,40.31,6.33,6.31,rural
246,Brahmanbaria-4,BNP,59.79,53.15,37.8,59.79,0.0,39.0,38.32,40.49,4.56,4.56,rural
247,Brahmanbaria-5,BNP,34.13,53.2,0.0,34.13,0.0,39.0,37.48,39.39,7.2,7.18,rural
248,Brahmanbaria-6,Ganasamhati,64.44,51.39,25.96,0.0,0.0,40.0,34.55,36.45,4.41,4.41,rural
249,Comilla-1,BNP,58.64,55.64,37.82,58.64,0.0,41.0,33.42,35.24,5.77,5.76,rural
250,Comilla-2,BNP,38.8,53.45,25.5,38.8,0.0,41.0,33.74,35.6,4.4,4.39,rural
251,Comilla-3,BNP,58.92,54.52,39.17,58.92,0.0,40.0,36.53,38.34,6.97,6.96,rural
252,Comilla-4,NCP,75.36,53.19,0.0,0.0,75.36,,,,,,rural
253,Comilla-5,BNP,51.82,55.14,46.22,51.82,0.0,40.0,36.48,38.41,3.02,3.02,rural
254,Comilla-6,BNP,61.63,51.16,35.3,61.63,0.0,41.0,32.55,34.44,6.02,5.96,rural
255,Comilla-7,Independent,51.11,54.93,0.0,26.97,0.0,40.0,36.53,38.27,6.43,6.43,rural
256,Comilla-8,BNP,77.71,57.86,19.19,77.71,0.0,41.0,34.59,36.53,6.75,6.71,rural
257,Comilla-9,BNP,57.0,63.1,38.47,57.0,0.0,39.0,37.94,40.05,4.22,4.17,rural
258,Comilla-10,BNP,56.37,54.97,40.45,56.37,0.0,40.0,36.78,38.75,1.96,1.92,rural
259,Comilla-11,Jamaat,62.32,53.96,62.32,35.83,0.0,40.0,35.23,37.14,1.68,1.67,rural
260,Chandpur-1,BNP,64.53,58.36,32.81,64.53,0.0,39.0,37.52,39.2,6.23,6.23,rural
261,Chandpur-2,BNP,71.12,48.71,0.0,71.12,0.0,41.0,34.8,36.62,7.18,7.18,rural
262,Chandpur-3,BNP,58.91,51.67,34.86,58.91,0.0,,,,,,rural
263,Chandpur-4,Independent,35.13,53.68,29.65,32.3,0.0,40.0,36.15,38.05,4.25,4.22,rural
264,Chandpur-5,BNP,66.21,53.56,0.0,66.21,0.0,39.0,37.11,39.14,5.12,5.12,rural
265,Feni-1,BNP,57.29,54.65,39.42,57.29,0.0,41.0,34.05,36.07,4.37,4.37,rural
266,Feni-2,BNP,60.04,50.32,0.0,60.04,0.0,41.0,34.11,36.06,7.07,7.06,rural
267,Feni-3,BNP,58.26,53.79,38.08,58.26,0.0,40.0,35.78,37.76,5.73,5.68,rural
268,Noakhali-1,BNP,52.41,54.03,38.78,52.41,0.0,,,,,,rural
269,Noakhali-2,BNP,41.98,56.09,0.0,41.98,32.2,39.0,37.07,39.03,3.74,3.68,rural
270,Noakhali-3,BNP,51.7,53.86,43.84,51.7,0.0,39.0,37.26,39.19,4.73,4.59,rural
271,Noakhali-4,BNP,57.11,55.04,37.93,57.11,0.0,39.0,39.96,41.81,4.26,4.12,rural
272,Noakhali-5,BNP,53.08,55.84,41.74,53.08,0.0,39.0,38.4,40.37,4.9,4.87,rural
273,Noakhali-6,NCP,54.17,49.54,0.0,38.1,54.17,39.0,39.88,41.91,6.39,6.38,rural
274,Lakshmipur-1,BNP,55.64,56.01,0.0,55.64,36.74,40.0,35.47,37.31,3.43,3.38,rural
275,Lakshmipur-2,BNP,51.37,58.37,45.29,51.37,0.0,40.0,35.43,37.26,2.91,2.88,rural
276,Lakshmipur-3,BNP,51.73,59.5,45.55,51.73,0.0,39.0,37.4,39.31,3.58,3.46,rural
277,Lakshmipur-4,BNP,49.55,55.66,31.01,49.55,0.0,39.0,39.68,41.36,3.11,3.08,rural
278,Chittagong-1,BNP,59.69,56.26,37.98,59.69,0.0,,,,,,rural
280,Chittagong-3,BNP,62.99,44.92,32.35,62.99,0.0,41.0,32.64,35.2,8.58,8.57,rural
282,Chittagong-5,BNP,69.6,42.19,0.0,69.6,0.0,41.0,30.59,33.01,9.5,8.43,rural
